FECHA,N1,N2,N3,N4,N5,N6,Complementario,Reintegro
18/08/2025,5,6,8,23,46,47,18,2
16/08/2025,11,14,22,45,46,48,30,6
14/08/2025,7,11,12,16,36,43,26,2
11/08/2025,11,20,32,40,44,46,15,8
9/08/2025,10,19,20,25,27,33,9,9
7/08/2025,3,13,19,21,24,26,33,7
4/08/2025,4,18,32,34,43,46,39,0
2/08/2025,8,36,40,42,43,48,41,9
31/07/2025,8,14,18,24,33,38,36,7
28/07/2025,4,15,24,37,38,40,19,5
26/07/2025,10,16,22,29,44,47,21,4
24/07/2025,18,19,24,28,32,44,23,8
21/07/2025,1,6,16,23,30,40,36,0
19/07/2025,15,16,20,39,40,47,19,4
17/07/2025,12,16,30,32,41,47,46,3
14/07/2025,4,6,17,20,45,46,26,1
12/07/2025,9,23,28,38,44,47,34,0
10/07/2025,9,10,13,17,44,47,38,2
7/07/2025,4,9,34,36,37,43,14,4
5/07/2025,5,14,19,20,27,37,43,3
3/07/2025,3,23,24,25,43,45,29,0
30/06/2025,3,19,21,31,42,49,22,4
28/06/2025,5,6,9,30,32,36,45,2
26/06/2025,15,20,26,38,39,41,32,4
23/06/2025,22,25,29,35,39,41,38,5
21/06/2025,12,25,43,44,45,49,27,4
19/06/2025,7,13,21,38,41,46,34,9
16/06/2025,12,16,23,25,33,39,35,0
14/06/2025,4,6,8,18,28,42,10,1
12/06/2025,10,30,36,38,43,46,17,0
9/06/2025,4,6,13,15,31,35,16,1
7/06/2025,5,14,19,33,45,46,7,3
5/06/2025,17,18,24,34,37,39,14,8
2/06/2025,7,20,23,38,40,45,30,3
31/05/2025,5,6,14,24,35,45,49,9
29/05/2025,1,3,10,23,35,38,17,7
26/05/2025,4,13,28,33,41,43,9,2
24/05/2025,5,14,19,35,41,46,31,0
22/05/2025,1,15,16,18,23,41,2,1
19/05/2025,28,29,32,43,46,47,30,9
17/05/2025,1,16,23,24,29,44,28,2
15/05/2025,4,16,28,35,39,42,30,5
12/05/2025,5,10,33,35,44,48,7,5
10/05/2025,1,8,13,23,31,39,15,8
8/05/2025,18,27,30,31,32,40,2,8
5/05/2025,22,29,30,35,39,45,14,9
3/05/2025,1,4,16,25,33,37,15,4
1/05/2025,18,19,30,39,45,49,23,9
28/04/2025,2,13,17,39,43,46,21,1
26/04/2025,11,16,17,26,44,46,22,9
24/04/2025,10,20,23,30,37,39,41,9
21/04/2025,9,17,24,25,35,38,12,3
19/04/2025,2,4,17,30,34,46,8,2
17/04/2025,2,4,6,32,33,39,27,3
14/04/2025,1,22,23,32,34,35,27,8
12/04/2025,5,15,18,24,42,45,11,7
10/04/2025,4,14,15,39,45,46,42,9
7/04/2025,3,4,7,8,22,33,1,8
5/04/2025,1,7,17,19,21,37,26,2
3/04/2025,4,8,9,14,23,45,12,4
