Fecha Sorteo,Categoría,Nº Acertantes,Premio por ganador (€)
5/09/2025,1ª 5 + 2,1,"65.278.573,00€"
5/09/2025,2ª 5 + 1,0,"743.932,43€"
5/09/2025,3ª 5 + 0,1,"34.773,85€"
5/09/2025,4ª 4 + 2,4,"1.805,20€"
5/09/2025,5ª 4 + 1,104,"160,65€"
5/09/2025,6ª 3 + 2,412,"54,53€"
5/09/2025,7ª 4 + 0,273,"53,47€"
5/09/2025,8ª 2 + 2,6.236,"12,02€"
5/09/2025,9ª 3 + 1,6.543,"12,88€"
5/09/2025,10ª 3 + 0,14.282,"11,45€"
5/09/2025,11ª 1 + 2,35.913,"5,19€"
5/09/2025,12ª 2 + 1,101.465,"5,95€"
5/09/2025,13ª 2 + 0,214.213,"4,52€"
